delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BYA Mendis,SR Taylor,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.2,BYA Mendis,SR Taylor,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.3,BYA Mendis,SR Taylor,{'wides': 1},AC Jayangani,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.4,BYA Mendis,SR Taylor,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.5,AC Jayangani,SR Taylor,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.6,AC Jayangani,SR Taylor,0,BYA Mendis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
0.7,AC Jayangani,SR Taylor,0,BYA Mendis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.1,BYA Mendis,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.2,BYA Mendis,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.3,BYA Mendis,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MR Aguilleira'], 'kind': 'stumped', 'player_out': 'BYA Mendis'}",0.0,0,0.0,0,0,stumped,BYA Mendis,['MR Aguilleira'],0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.4,MADD Surangika,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MR Aguilleira'], 'kind': 'stumped', 'player_out': 'MADD Surangika'}",0.0,0,0.0,0,0,stumped,MADD Surangika,['MR Aguilleira'],0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.5,MDN Hansika,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
1.6,MDN Hansika,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.1,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.2,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.3,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.4,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.5,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
2.6,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.1,AC Jayangani,A Mohammed,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.2,AC Jayangani,A Mohammed,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.3,AC Jayangani,A Mohammed,0,MDN Hansika,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.4,AC Jayangani,A Mohammed,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.5,AC Jayangani,A Mohammed,0,MDN Hansika,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
3.6,MDN Hansika,A Mohammed,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.1,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.2,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.3,MDN Hansika,SR Taylor,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.4,MDN Hansika,SR Taylor,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.5,AC Jayangani,SR Taylor,0,MDN Hansika,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
4.6,MDN Hansika,SR Taylor,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.1,AC Jayangani,HK Matthews,0,MDN Hansika,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.2,AC Jayangani,HK Matthews,0,MDN Hansika,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.3,AC Jayangani,HK Matthews,0,MDN Hansika,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.4,MDN Hansika,HK Matthews,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.5,MDN Hansika,HK Matthews,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['SACA King'], 'kind': 'caught', 'player_out': 'MDN Hansika'}",0.0,0,0.0,0,0,caught,MDN Hansika,['SACA King'],0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
5.6,AC Jayangani,HK Matthews,0,HASD Siriwardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.1,HASD Siriwardene,ASS Fletcher,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.2,AC Jayangani,ASS Fletcher,0,HASD Siriwardene,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.3,AC Jayangani,ASS Fletcher,0,HASD Siriwardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.4,AC Jayangani,ASS Fletcher,0,HASD Siriwardene,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.5,AC Jayangani,ASS Fletcher,0,HASD Siriwardene,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
6.6,HASD Siriwardene,ASS Fletcher,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
7.1,HASD Siriwardene,HK Matthews,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
7.2,HASD Siriwardene,HK Matthews,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'caught and bowled', 'player_out': 'HASD Siriwardene'}",0.0,0,0.0,0,0,caught and bowled,HASD Siriwardene,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
7.3,LE Kaushalya,HK Matthews,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
7.4,LE Kaushalya,HK Matthews,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
7.5,AC Jayangani,HK Matthews,0,LE Kaushalya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Colombo,2015-05-26,female,T20,0,West Indies,wickets,9,0,0,0,0,HK Matthews,20,Sri Lanka,West Indies,West Indies,field,R Premadasa Stadium
